시군명,지역구분명,산정보,산개수,노선수(개소),총연장거리(km),데이터기준일자
가평군,경기도,"애기봉,수덕산,국망봉,견치봉,민둥산,강씨봉,귀목봉,청계산,개주산,통방산,삼태봉,중미산,소구니산,봉미산,화악산,중봉,촉대봉,몽덕산,가덕산,북배산,계관산,신성봉,주금산,서리산,축령산,은두봉,깃대봉,매봉,칼봉,노적봉,옥녀봉,대금산,청우산,불기산,주발봉,뾰루봉,화야산,고동산,곡달산,어비산,보리산,장락산,왕터산,석룡산,보납산,호명산,유명산,운악산,명지산,연인산",50,50,496.60,20251107
고양시,경기도,"개명산,노고산,심리산,장령산",4,7,20.70,20251107
과천시,경기도,"관악산,청계산",2,2,22.40,20251107
광명시,경기도,"도덕산,구름산,가학산,서독산",4,5,16.80,20251107
광주시,경기도,"문형산,무갑산,백마산,사태봉산,천덕봉,태화산,앵자봉,국사봉,관산,해협산,금봉산,정암산,용마산,국수봉,칠사산,군월산,영장산,불곡산",18,18,300.20,20251107
구리시,경기도,아차산,1,1,11.60,20251107
군포시,경기도,수리산,1,6,25.20,20251107
김포시,경기도,"문수산,가현산,승마산,금정산,당산미산,허산,수안산,봉성산,동성산",9,9,26.80,20251107
남양주시,경기도,"갑산,고래산,관음봉,금남산,문안산,백봉산,송라산,철마산,축령산,퇴뫼산,주금산,불암산,수락산,예봉산,운길산,천마산,도정산,황금산,금대산,국사봉,수리봉,양골산",22,22,235.30,20251107
동두천시,경기도,"마차산,왕방산,소요산,칠봉산,해룡산,어등산",6,6,65.00,20251107
부천시,경기도,"원미산,성주산,작동산",3,3,31.30,20251107
성남시,경기도,"남한산성,영장산,검단산,불곡산,발화산,태봉산,청계산,인릉산",8,8,73.60,20251107
수원시,경기도,"광교산, 칠보산",2,17,49.40,20251107
시흥시,경기도,"관모산,마산,운흥산,봉재산,상양산,양지산,매봉산,학미산,군자봉,본향산",10,10,38.60,20251107
안산시,경기도,"너구리산,수리산,팔곡산,광덕산,항가울산,성태산,갇치미산,고리봉,지봉재산,치밋산,마산",11,11,60.10,20251107
안성시,경기도,"서운산,비봉산,고성산,칠장산,국사봉,청량산,비봉산(죽산),쌍령산",8,8,157.00,20251107
안양시,경기도,"수리산,삼성산,관악산",3,41,119.30,20251107
양주시,경기도,"불곡산,감악산 칠봉산,개명산(고령산),노고산,도락산,소래산,은봉산,호명산,일영봉,천보산,태봉산,사리산,테미산,바람산,고장산,독바위,팔일봉",18,18,203.80,20251107
양평군,경기도,"갈기산,고동산,고래산,대부산,도일봉,백운봉,봉미산,부용산,소구니산,소리산,양자산,어비산,옥산,용문산,유명산,당산,중미산,중원산,청계산,추읍산,통방산,화야산",22,57,169.20,20251107
여주시,경기도,"대명산,대포산,오갑산,북성산,남산,대렴산,주봉산,양자산,우두산,고래산,배미산,소달산,연하산,황학산,싸리산,마감산,보금산,당산,자산",19,19,86.10,20251107
연천군,경기도,"고대산,보개산,감악산,성산,군자산,마차산,종현산,토토봉,망곡산",9,18,68.90,20251107
오산시,경기도,"독산,필봉산,마등산,여계산,갑골산",5,5,15.00,20251107
용인시,경기도,"석성산,부아산,함박산,돌봉산,정광산,시궁산,삼봉산,독조봉,칠봉산,문수산,수정산,구봉산,조비산,마구산,법화산,죽현산,선장산,향수산,용뫼산,멱조산,청명산,매미산,보라산,광교산,대지산,소실봉,무년산",27,93,327.40,20251107
의왕시,경기도,"오봉산,백운산,모락산,청계산,덕성산",5,5,95.00,20251107
의정부시,경기도,"수락산,천보산,장암숲",3,10,40.00,20251107
이천시,경기도,"설봉산,도드람산,원적산,망현산,백족산,효양산,관진산,해룡산,마국산,노성산",10,10,42.60,20251107
파주시,경기도,"감안산,고령산,파평산,비학산,박달산,금병산,삼봉산,월롱산,사방산,봉서산,명학산,심학산,보현산,면산,안산,학령산,활룡산,고인돌숲길(교하),돌봉,문산숲길(당동리),율곡수목원,문산숲길(어울림),고인돌숲길(월롱),중성산,자웅산,신성산,은봉산",27,27,271.80,20251107
평택시,경기도,"덕암산,무봉산,백운산,무성산,마안산,오봉산,매봉산,덕지산,부락산",9,9,41.20,20251107
포천시,경기도,"수원산,금주산,주금산,청계산,강씨봉,관음산,종자산,해룡산,천주산,지장산,국망봉,광덕산,왕방산,백운산,명성산,운악산,말봉산",17,39,152.00,20251107
하남시,경기도,검단산,1,5,19.20,20251107
화성시,경기도,"남양무봉산,함봉산,고초봉,남양초뒷산,봉선대산,봉화산,구봉산,천등산,매봉산(화성),해운산,태골산,탑재산,청명산,여치산,화산,금바위산,태행산,해방산,왕자봉,학곡산,쌍봉산,보금산(화성),철마산,천덕산,서학산,장안 남산,소리산,방울산,천석산,초록산,무봉산,필봉산,태봉산,서봉산,노적봉,매봉재,함박산,건달산,삼봉산,금덩산,남산,칠보산,서신장외리뒷산,마등산",44,44,227.00,20251107

