행정구역,도로명,구간(기점),구간(종점),연장(킬로미터),종류,포장형태,관리청,데이터기준일
경상남도 창녕군 남지읍,남지박진로,남지입구오거리,남지119센터,0.55,겸용도로,투수콘,경상남도,2026-05-15
경상남도 창녕군 부곡면,낙동로,부곡 노리양수장,부곡 임해진,3.3,우선도로,아스콘,경상남도,2026-05-15
경상남도 창녕군 남지읍,개비리 임도,남지체육공원,반포제,10.4,우선도로,콘크리트,창녕군,2026-05-15
경상남도 창녕군 이방면,무심사 임도,합천창녕보,송곡리 무심사,3.4,우선도로,콘크리트,창녕군,2026-05-15
경상남도 창녕군 이방면,무심사 우회도로,합천창녕보,이방 송곡리 ,4,우선도로,콘크리트,창녕군,2026-05-15
경상남도 창녕군 부곡면,부곡 온정천 자전거길,부곡 사창리,청암리 마천교,2.9,겸용도로,콘크리트,창녕군,2026-05-15
경상남도 창녕군 부곡면,부곡 학포 수변공원,부곡 학포리,부곡 학포리,1.7,전용도로,콘크리트,창녕군,2026-05-15
경상남도 창녕군 길곡면,길곡 노고지리공원,창녕함안보,부곡 임해진,5.7,전용도로,콘크리트,창녕군,2026-05-15
경상남도 창녕군 남지읍,남지 체육공원,남지 용산리,남지 남지리,7.55,전용도로,흙포장,창녕군,2026-05-15
경상남도 창녕군 남지읍,반포제방,대곡리 박진교,남지읍 칠현리,3.95,전용도로,콘크리트,진영국토관리사무소,2026-05-15
경상남도 창녕군 이방면,장천제방,장천리 율지교,등림리 죽전들,2.65,전용도로,콘크리트,진영국토관리사무소,2026-05-15
경상남도 창녕군 도천면,영산천 생태하천 조성,영산면 일리,도천 불미교,4.2,겸용도로,흙포장,창녕군,2026-05-15
