노선명,기점,종점,종류,연장
"왕십리로,살곶이길",서울숲더샵(101동 앞),서울숲더샵(103동 앞),자전거전용도로(보도높이형),0.34
청계천로(남측),청계8가사거리,고산자교,자전거전용도로(보도높이형),1.4
뚝섬로1길,아차산로38,뚝섬로1길2,자전거우선도로,0.7
아차산로7길,광나루로234,아차산로7길2,자전거우선도로,0.5
성수이로(서측),광나루로260,성수이로2,자전거우선도로,1.5
성수이로(동측),성수이로2,광나루로260,자전거우선도로,1.5
둘레길,둘레1길 2,둘레길 123,자전거우선도로,1
성수일로(서측),광나루로196,뚝섬로 337,자전거우선도로,1.28
성수일로(동측),뚝섬로 337,광나루로196,자전거우선도로,1.28
성덕정3길,뚝섬로 338,성덕정길 33,자전거우선도로,0.2
둘레3길,성덕정길 32,둘레길 27,자전거우선도로,0.2
무학로,텐즈힐105동,왕십리센트라스 130동 앞,자전거보행자겸용도로(분리형),0.54
난계로,왕십리센트라스아파트 127동 앞,텐즈힐 201동,자전거보행자겸용도로(분리형),0.65
마장로(북측),양지사거리(텐즈힐101동앞),황학사거리,자전거보행자겸용도로(분리형),0.55
마장로(남측),황학사거리,양지사거리,자전거보행자겸용도로(분리형),0.55
왕십리로,상왕십리역교차로,성동고교교차로,자전거보행자겸용도로(분리형),0.42
아차산로(남측),뚝섬교차로,성수사거리,자전거보행자겸용도로(비분리형),1.79
아차산로(북측),성수사거리,뚝섬교차로,자전거보행자겸용도로(비분리형),1.79
광나루로(남측),성동교사거리,송정동제방(화양사거리),자전거보행자겸용도로(비분리형),1.47
광나루로(북측),송정동제방(화양사거리),성동교사거리,자전거보행자겸용도로(비분리형),1.47
왕십리로(서측),성동교사거리,수도박물관(뚝도정수사업소),자전거보행자겸용도로(비분리형),1.2
왕십리로(동측),수도박물관(뚝도정수사업소),성동교사거리,자전거보행자겸용도로(비분리형),1.2
마장로(남측),양지사거리,마장2교교차로,자전거보행자겸용도로(비분리형),1.45
마장로(북측),마장2교교차로,양지사거리,자전거보행자겸용도로(비분리형),1.45
천호대로(남측),청계한신휴플러스 105동 건너편,답십리역8번출구,자전거보행자겸용도로(비분리형),0.35
청계천로(북측),고산자교 북측(시설관리공단사거리),신답철교,자전거보행자겸용도로(비분리형),0.3
고산자로2길(북측),행당동128-52,서울숲리버뷰자이 106동 상가,자전거보행자겸용도로(분리형),0.25
고산자로2길(남측),서울숲리버뷰자이 106동상가,서울숲리버뷰자이 101동,자전거보행자겸용도로(분리형),0.4
둘레1길(북측),트리마제102동 앞,트리마제103동 앞,자전거보행자겸용도로(분리형),0.32
둘레1길(남측),트리마제101동 맞은편,트리마제102동 맞은편,자전거보행자겸용도로(분리형),0.16
마장로42길,사근램프앞,마장로42길1,자전거보행자겸용도로(비분리형),0.28
가람길,가람길115,가람길113,자전거우선도로,0.2
천호대로,천호대로302,천호대로316,자전거보행자겸용도로(비분리형),0.15
천호대로,천호대로454,용답동237,자전거보행자겸용도로(비분리형),0.12
자동차시장1길,용답동225-7,자동차시장1길18,자전거우선도로,0.12
중랑천(우안),군자교,용비교,자전거보행자겸용도로(분리형),5
중랑천(좌안),군자교,용비교,자전거전용도로,4.5
"중랑천(좌안,제방)",새말빗물펌프장,송정체육공원,자전거보행자겸용도로(분리형),1
"중랑천(좌안,제방)",살곶이지하보도,성동교,자전거보행자겸용도로(분리형),0.3
"청계천(우안, 제방)",고산자교 남측,신답철교,자전거전용도로,0.3
