노선수,노선명,기점,종점,자전거도로의 종류,총연장(km),자전거도로 폭원(m),설치연도
전도1,목동서로,신정7동주민센터,목마공원,자전거전용도로,5.2,1.8,2004
전도2,목동동로,신정7동주민센터,목마공원,자전거전용도로,4.2,1.8,2004
전도2,목동동로,양천소방서 교차로,목운중학교,자전거전용도로,0.3,1.5,2004
전도2,목동동로,KT목동지점,재활용집하장,자전거전용도로,0.3,1.8,2004
전도2,목동동로,목동주차장,목동주차장,자전거전용도로,0.1,1.8,2004
전도2,목동동로,양천우체국 삼거리,목동청소년수련관 사잇길,자전거전용도로,0.2,1,2018
전도3,목동중앙로,대원칸타빌아파트,목동중앙로사거리,자전거전용도로,0.4,2.2,2008
전도4,목동로,양천근린공원,남부법원교차로,자전거전용도로,0.4,1.5,2011
전도4,목동로,양천근린공원,해누리체육공원,자전거전용도로,0.9,1,2008
전도5,신월로,신정이펜하우스1단지,강월초교,자전거전용도로,0.6,1.5,2012
전도6.7,신월로~신정로7길,강월초교,푸른마을3단지,자전거전용도로,0.7,1.5,2012
전도8,남부순환로88길,푸른마을아파트303동,신정동 1287-1,자전거전용도로,0.4,1.5,2005
전도7,신정로7길,푸른마을아파트303,서부트럭터미널,자전거전용도로,0.4,1,2005
전도9,남부순환로,양서중학교,신월동994-1,자전거전용도로,1.8,1.2,2011(2017)
전도9,남부순환로,신월동 223-1,신월동547-10,자전거전용도로,1.5,1.1,2011
전도10,신목로,목동중학교,신정교,자전거전용도로,0.7,1.1,2008
전도11,신정이펜1로,신정이펜하우스1단지,신정이펜하우스5단지,자전거전용도로,1,1.1,2012
전도12,신정이펜2로,신정이펜하우스2단지,서남병원,자전거전용도로,0.8,1.1,2012
전도13,안양천로,해누리체육공원,신목고,자전거전용도로,0.3,1.2,2008
우선1,오목로,과학수사연구원 교차로,목동역 교차로,자전거우선도로,2.4,3.5,2016
우선2,곰달래로,서서울호수공원 앞 교차로,목동사거리,자전거우선도로,2.7,3.5,2016
겸용1,안양천로,재활용집하장,목동주차장,겸용도로(비분리형),0.4,1.8,1993
겸용1,안양천로,재활용집하장,이대목동병원,겸용도로(비분리형),1.4,4,1993
겸용2,국회대로,목동아파트 533동,목동아파트614동,겸용도로(비분리형),0.7,4,미확인
겸용3,목동중앙로,목원초교,목동아파트313동,겸용도로(비분리형),1.8,3.5,1999
겸용4,오목로,오목교역,목동역,겸용도로(비분리형),1.2,3.5,1999
겸용5,목동로,남부법원교차로,홍익병원교차로,겸용도로(비분리형),0.7,3.5,1999
겸용6,신정로,서부트럭터미널교차로,목동아파트1201동,겸용도로(비분리형),1.5,3.2,2000
겸용7,신월로,까치울터널,요양센터입구,겸용도로(비분리형),0.2,3,2017
겸용7,신월로,남부법원교차로,신정네거리역교차로,겸용도로(비분리형),1.1,3.5,2000
겸용7,신월로,신월4동 537-7,신정네거리역교차로,겸용도로(비분리형),1,3,2002
겸용8,목동남로,목동아파트1117동,갈산초교,겸용도로(비분리형),1.1,3.5,2000
겸용9,신정로11길,지향초교,신정동 1287-8,겸용도로(비분리형),0.8,3,2001
겸용10,신정로13길,금옥여중,신정3동1289,겸용도로(비분리형),0.2,3,2001
겸용11,신정로14길,학마을아파트201동,학마을아파트106동,겸용도로(비분리형),0.3,3,2001
겸용12,중앙로,목동아파트1034동,목동아파트1117동,겸용도로(비분리형),1.3,4,2002
겸용13,화곡로,신월동 38-6,강서교육청입구 교차로,겸용도로(비분리형),1,4,2017
