노선명,자전거도로의종류,시점,종점,주요경유지,총연장(km),관리기관,설치방향
연서로-1-1,자전거전용차로,응암역,연신내역,-,2.3,서부도로사업소,편측일방
연서로-1-2,자전거전용차로,연신내역,응암역,-,2.3,서부도로사업소,편측일방
연서로-2,자전거보행자겸용도로(분리형),하나고등학교,폭포동입구교차로,-,1.6,교통행정과,편측일방
연서로-3,자전거보행자겸용도로(분리형),팬텀부대,입곡삼거리,-,0.3,교통행정과,편측일방
연서로-4,자전거보행자겸용도로(분리형),입곡삼거리,팬텀부대,-,0.3,교통행정과,편측일방
연서로-5-1,자전거보행자겸용도로(비분리형),폭포동입구교차로,연신내역교차로,-,1.5,교통행정과,편측일방
연서로-5-2,자전거보행자겸용도로(비분리형),연신내역교차로,폭포동입구교차로,-,1.5,교통행정과,편측일방
통일로-1,자전거보행자겸용도로(분리형),은평소방서,진관공영차고지,-,2.47,교통행정과,편측일방
통일로-2,자전거보행자겸용도로(비분리형),녹번역교차로,은평소방서,-,3.4,교통행정과,편측일방
통일로-3,자전거보행자겸용도로(비분리형),은평지문교,녹번역교차로,-,5.3,교통행정과,편측일방
북한산로-1-1,자전거보행자겸용도로(분리형),입곡삼거리,북한산성입구,-,1.17,교통행정과,편측일방
북한산로-1-2,자전거보행자겸용도로(분리형),북한산성입구,입곡삼거리,-,1.17,교통행정과,편측일방
북한산로-2,자전거보행자겸용도로(분리형),은평지문교,입곡삼거리,-,2.31,교통행정과,편측일방
진흥로-1,자전거보행자겸용도로(분리형),응암역,역촌역,-,0.97,교통행정과,편측일방
진흥로-2,자전거보행자겸용도로(분리형),역촌역,응암역,-,0.97,교통행정과,편측일방
은평로-1,자전거보행자겸용도로(비분리형),신사오거리,녹번역교차로,-,1.68,교통행정과,편측일방
은평로-2,자전거보행자겸용도로(비분리형),녹번역교차로,신사오거리,-,1.68,교통행정과,편측일방
응암로-1,자전거보행자겸용도로(비분리형),서부병원앞교차로,응암오거리,-,1.2,교통행정과,편측일방
응암로-2,자전거보행자겸용도로(비분리형),응암오거리,서부병원앞교차로,-,1.2,교통행정과,편측일방
가좌로-1,자전거보행자겸용도로(비분리형),신사동고개사거리,충암고교교차로,-,1.6,교통행정과,편측일방
가좌로-2,자전거보행자겸용도로(비분리형),충암고교교차로,신사동고개사거리,-,1.6,교통행정과,편측일방
수색로-1-1,자전거보행자겸용도로(비분리형),수색교교차로,덕은교교차로,-,0.58,교통행정과,편측일방
수색로-1-2,자전거보행자겸용도로(비분리형),덕은교교차로,수색교교차로,-,0.58,교통행정과,편측일방
수색로-2,자전거전용도로,수색동주민센터,수색119안전센터,-,0.43,교통행정과,편측일방
수색로-3,자전거보행자겸용도로(분리형),수색119안전센터,수색동주민센터,-,0.59,교통행정과,편측일방
진관1로-1,자전거보행자겸용도로(분리형),폭포동입구교차로,박석고개교차로,-,1.07,교통행정과,편측일방
진관1로-2,자전거보행자겸용도로(분리형),은평메디텍고등학교,진관동107-3,-,0.45,교통행정과,편측일방
진관2로-1,자전거보행자겸용도로(분리형),통일로1030,기자촌사거리,-,1.32,교통행정과,편측일방
진관2로-2,자전거보행자겸용도로(분리형),진관2로19,진관3로20,-,0.5,교통행정과,편측일방
진관2로-3,자전거보행자겸용도로(분리형),은평롯데몰,은평스카이뷰자이103동,-,0.5,교통행정과,편측일방
진관3로-1,자전거보행자겸용도로(분리형),구파발사거리,지축교사거리,-,0.98,교통행정과,편측일방
진관3로-2,자전거보행자겸용도로(비분리형),지축교사거리,삼성래미안916동,-,0.2,교통행정과,편측일방
진관4로,자전거보행자겸용도로(분리형),진관3로70,진관4로100,-,1.2,교통행정과,편측일방
불광천(우안),자전거전용도로,신사교,경의선 철교 하부,-,2.9,치수과,편측양방
불광천(좌안),자전거전용도로,신사교,와산교 하류 200m,-,1.3,치수과,편측양방
증산서길-1,자전거전용도로,DMC센트럴자이A 204동,DMC센트럴자이A 401동,,0.4,은평구청,양측방향
증산서길-2,자전거전용도로,DMC센트럴자이A 301동,DMC센트럴자이A 301동,,0.12,은평구청,양측방향
증산로-1,자전거전용도로,DMC센트럴자이A 304동,DMC센트럴자이A 301동,,0.29,은평구청,편측양방
