노선명,노선번호,시도명,시군구명,도로구간-기점,도로구간-종점,총길이(m),자전거도로너비,자전거도로종류,자전거도로고시유무,관리기관명,관리기관전화번호,데이터기준일자
나노산단3로 L,1,전라남도,장성군,남면 삼태리 894,남면 삼태리 894,282,1.5,분리형 겸용도로,무,장성군청,061-390-7472,2024-05-02
나노산단3로 R,2,전라남도,장성군,남면 삼태리 894,남면 삼태리 894,279,1.5,분리형 겸용도로,무,장성군청,061-390-7472,2024-05-02
나노산단로 L,3,전라남도,장성군,남면 삼태리 425-2,남면 삼태리 884,"1,404",1.5,분리형 겸용도로,무,장성군청,061-390-7472,2024-05-02
나노산단로 R,4,전라남도,장성군,남면 삼태리 425-2,남면 삼태리 884,"1,379",1.5,분리형 겸용도로,무,장성군청,061-390-7472,2024-05-02
단풍로,5,전라남도,장성군,장성읍 유탕리 1524-19,장성읍 유탕리 1386-3,"1,019",3.5,비분리형 겸용도로,무,장성군청,061-390-7472,2024-05-02
드림빌자전거길,6,전라남도,장성군,삼서면 삼계리 1077,삼서면 유평리 771,"1,826",2,비분리형 겸용도로,무,장성군청,061-390-7472,2024-05-02
영장로 L,7,전라남도,장성군,삼계면 사창리 425-1,삼계면 주산리 715-6,"1,099",1.5,비분리형 겸용도로,무,장성군청,061-390-7472,2024-05-02
영장로 R,8,전라남도,장성군,삼계면 사창리 425-2,삼계면 주산리 715-6,"1,072",1.5,비분리형 겸용도로,무,장성군청,061-390-7472,2024-05-02
필암서원로,9,전라남도,장성군,황룡면 장산리 663-19,황룡면 필암리 795-14,"1,471",1.5,비분리형 겸용도로,무,장성군청,061-390-7472,2024-05-02
함장로,10,전라남도,장성군,동화면 용정리 255-4,황룡면 장산리 8-3,"3,348",3,비분리형 겸용도로,무,장성군청,061-390-7472,2024-05-02
해삼로 L,11,전라남도,장성군,삼서면 삼계리 311-9,삼계면 사창리 425-1,"2,797",1.5,비분리형 겸용도로,무,장성군청,061-390-7472,2024-05-02
해삼로 R,12,전라남도,장성군,삼서면 대곡리 769-2,삼계면 월연리 328-17,"2,655",1.5,비분리형 겸용도로,무,장성군청,061-390-7472,2024-05-02
황룡강자전거길 R-7,13,전라남도,장성군,황룡면 황룡리 223-16,황룡면 황룡리 321,"3,507",3,자전거 전용도로,무,장성군청,061-390-7472,2024-05-02
황룡강자전거길 R-5,14,전라남도,장성군,장성읍 기산리 465-2,황룡면 신호리 716-3,"5,363",3,비분리형 겸용도로,무,장성군청,061-390-7472,2024-05-02
황룡강자전거길 R-3,15,전라남도,장성군,장성읍 장안리 208-1,장성읍 장안리 475-14,973,3,비분리형 겸용도로,무,장성군청,061-390-7472,2024-05-02
황룡강자전거길 L-3,16,전라남도,장성군,장성읍 야은리 295-5,황룡면 옥정리 569-8,"14,199",3,자전거 전용도로,무,장성군청,061-390-7472,2024-05-02
황룡강자전거길 L-1,17,전라남도,장성군,장성읍 상오리 805-2,장성읍 상오리 791,692,1.5,자전거 전용도로,무,장성군청,061-390-7472,2024-05-02
