순번,시군명,길명,도로명주소,시점위치,명칭,거리(km),자료출처
1,전주시,아름다운 순례길,전주시 완산구 태조로 6,전주한옥마을,한옥마을,28,관광총괄과
2,완주군,아름다운 순례길,완주군 소양면 송광수만로 255-16,송광사,송광사,26.5,관광총괄과
3,완주군,아름다운 순례길,완주군 비봉면 천호성지길 124,완주 천호,천호,26.5,관광총괄과
4,익산시,아름다운 순례길,익산시 망성면 나바위길 77-4,나바위,나바위,27.5,관광총괄과
5,익산시,아름다운 순례길,익산시 금마면 미륵사지로 362,익산 미륵사지,미륵사지,29.3,관광총괄과
6,완주군,아름다운 순례길,완주군 이서면 초남신기길 23-24,초남이,초남이,24,관광총괄과
7,김제시,아름다운 순례길,김제시 금산면 모악15길 1,김제 금산사,금산사,19.7,관광총괄과
8,김제시,아름다운 순례길,김제시 금산면 수류로 643,수류,수류,21,관광총괄과
9,완주군,아름다운 순례길,완주군 구이면 모악산길 91,전주 모악산,모악산,19.7,관광총괄과
10,순창군,모악산 마실길,순창군 동계면 추동길 90-3,추동마을입구(경계),전주시,12.3,관광총괄과
11,전주시,모악산 마실길,전주시 완산구 중인1길 130,노송군락지,전주시,1.5,관광총괄과
12,김제시,모악산 마실길,김제시 금산면 우림로 395,유각재(경계),김제시,21.3,관광총괄과
13,김제시,모악산 마실길,김제시 금산면 모악15길 1,금산사주차장,김제시,13.3,관광총괄과
14,완주군,모악산 마실길,완주군 구이면 모악산길 111-6,도립미술관,완주군,4,관광총괄과
15,완주군,모악산 마실길,완주군 구이면 모악산길 111-6,도립미술관,완주군,16,관광총괄과
16,완주군,모악산 마실길,완주군 구이면 장파길 46,장파반월임도,완주군,3.8,관광총괄과
17,부안군,서해안 해변 마실길,부안군 변산면 새만금로 6,새만금전시관,부안군,42,관광총괄과
18,부안군,서해안 해변 마실길,부안군 줄포면 생태공원로 81-47,선양제,고창군,50,관광총괄과
19,전주시,마음이 머무는길,전주시 완산구 태조로 15,공예품전시관,한옥마을 둘레길,7.1,관광총괄과
20,군산시,마음이 머무는길,군산시 옥도면 새만금로 1559,신시도주차장,신시도 바닷길,7,관광총괄과
21,군산시,마음이 머무는길,군산시 옥도면 새만금로 1559,신시도마을,신시도 바닷길2,5.5,관광총괄과
22,군산시,마음이 머무는길,군산시 옥도면 신시도길 83-7,비응항,새만금방조제 종주,25.5,관광총괄과
23,익산시,마음이 머무는길,익산시 함라면 신대진등길 4,함라삼부잣집,함라산 둘레길,23.9,관광총괄과
24,익산시,마음이 머무는길,익산시 웅포면 백제로 495-57,숭림사,강변포구길,26,관광총괄과
25,정읍시,마음이 머무는길,정읍시 덕천면 상학3길 20,덕천면 마을입구,덕천면 돌담길,2.4,관광총괄과
26,남원시,마음이 머무는길,남원시 주천면 정령치로 93,주천면(치안센터),주천~운봉 구간,14.3,관광총괄과
27,남원시,마음이 머무는길,남원시 운봉읍 운봉로 677,운봉읍(농협),운봉~인월 구간,9.4,관광총괄과
28,남원시,마음이 머무는길,남원시 인월면 인월장터로 3,인월면(구 인월교),인월~금계 구간,19.3,관광총괄과
29,김제시,마음이 머무는길,김제시 금구면 금구로 44,금구면사무소,금구 명품길1,55.3,관광총괄과
30,김제시,마음이 머무는길,김제시 금구면 금구로 44,금구면사무소,금구 명품길2,42.1,관광총괄과
31,완주군,마음이 머무는길,완주군 소양면 송광수만로 472-2,위봉산성,고종시 마실길1,11.5,관광총괄과
32,완주군,마음이 머무는길,완주군 동상면 수만길 123,학동마을,고종시 마실길2,6.5,관광총괄과
33,진안군,마음이 머무는길,진안군 백운면 평노길 107-7,영모정,고개너머 백운길,10.2,관광총괄과
34,진안군,마음이 머무는길,진안군 백운면 평노길 107-7,영모정,신광재가는길,19.48,관광총괄과
35,진안군,마음이 머무는길,진안군 백운면 원덕길 49,원덕현마을,내동산도는길,11.75,관광총괄과
36,진안군,마음이 머무는길,진안군 진안읍 한들길 70,중평마을,섬진강 물길,16.94,관광총괄과
37,무주군,마음이 머무는길,무주군 설천면 백련사길 580,구천동,구천동 옛길,2,관광총괄과
38,장수군,마음이 머무는길,장수군 장수읍 노하숲길 84,노하숲,뜬봉샘 가는길,9,관광총괄과
39,장수군,마음이 머무는길,장수군 장수읍 덕산로 795,용림제,마루한 길,12.5,관광총괄과
40,임실군,마음이 머무는길,임실군 운암면 학암2길 30,학암마을,옥정호 마실길,17.64,관광총괄과
41,순창군,마음이 머무는길,순창군 적성면 강경길 159-4,강경마을,마실길1,4,관광총괄과
42,순창군,마음이 머무는길,순창군 적성면 강경길 159-4,강경마을,마실길2,4.5,관광총괄과
43,순창군,마음이 머무는길,순창군 적성면 강경길 76-165,드무소골,마실길3,3.8,관광총괄과
44,고창군,마음이 머무는길,고창군 고창읍 고인돌공원길 74,고인돌박물관,고인돌길,8.3,관광총괄과
45,고창군,마음이 머무는길,고창군 아산면 운곡로 82,장살비재,복분자-풍천장어길,7.7,관광총괄과
46,고창군,마음이 머무는길,고창군 부안면 연기길 21,산림경영모델숲,질마재길,11.3,관광총괄과
47,고창군,마음이 머무는길,고창군 부안면 연기길 17,풍천(강나루식당),보은길,12.7,관광총괄과
48,부안군,마음이 머무는길,부안군 진서면 내소사로 187,일주문,내소사 전나무숲길,0.6,관광총괄과
